LAT,LONG,NAME
34.9756338,-85.5841325,Scealf School (historical)
34.8428566,-85.5613545,Brown Gap School (historical)
34.8850783,-85.5488538,Davis High School
34.8723001,-85.5188527,Northwest Georgia High School
34.8742445,-85.5121857,Dade Elementary School
34.8731334,-85.5116302,Dade Middle School
34.6614701,-85.5113522,Head River School (historical)
34.9645212,-85.5032959,Murphy Hollow School (historical)
34.8148004,-85.4838518,New Salem School (historical)
34.5236958,-85.4810719,Cloudland School
34.4770304,-85.4755158,Menlo Elementary School
34.9420211,-85.450239,North Dade School
34.5953607,-85.4488494,Pleasant Grove School (historical)
34.7581343,-85.4421839,Mount Carmel School (historical)
34.7175797,-85.4302387,Cedar Grove School
34.7175797,-85.4302387,Saint Marys Institute (historical)
34.2006503,-85.4274574,Foster Bend School (historical)
34.8389667,-85.4257941,Ascalon School (historical)
34.9189657,-85.4180159,West Brow School (historical)
34.1728733,-85.4171792,Melson School (historical)
34.8534109,-85.4166271,Gillen School
34.2631485,-85.4135685,Prospect School (historical)
34.8600775,-85.4096824,Lookout Mountain Rural School
34.4053663,-85.4091246,Lyerly High School (historical)
34.4050885,-85.4088468,Lyerly Elementary School
34.9025769,-85.399682,Payne School (historical)
34.7931338,-85.3913486,Prospect School (historical)
34.185373,-85.3877341,McGee School (historical)
34.2373159,-85.3871788,Morton School (historical)
34.5653616,-85.3871804,Teloga School
34.7836894,-85.3813482,Pleasant Grove School (historical)
34.9564651,-85.3799591,Lookout Mountain Junior High School
34.8139668,-85.3752369,Marble Top School
34.9656316,-85.3752368,Covenant College
34.7820227,-85.3735702,Kensington School (historical)
34.8647995,-85.3674588,High Point (historical)
34.0239887,-85.3599546,Fite School (historical)
34.464809,-85.359679,Chattooga County High School
34.4650868,-85.359679,Chattooga High School
34.6114715,-85.3596798,Napier Chapel School (historical)
34.9750758,-85.3594029,Fairland School
34.9750758,-85.3594029,Fairyland Elementary School
34.9292431,-85.3588474,Chattanooga Valley High School
34.461198,-85.3555122,Summerville Middle School
34.6075827,-85.3532907,Center Post School
34.6184157,-85.3519018,Chattooga Academy (historical)
34.6534147,-85.3513465,Fairview School
34.8581329,-85.3513472,Garrett School (historical)
33.9539902,-85.3507874,Old Brewster School (historical)
34.7486899,-85.3494025,Estelle School (historical)
34.9347985,-85.3466249,Chattanooga Valley School
34.4823085,-85.341623,North Summerville Elementary School
34.4753644,-85.3374561,Summerville Elementary School
34.110653,-85.3355101,Cave Spring Elementary School
34.1070419,-85.3327322,Georgia School for the Deaf
33.7451052,-85.3296753,Riverside School (historical)
34.8220221,-85.3269018,Pond Spring Elementary School (historical)
34.8539662,-85.3266241,Oak Grove School (historical)
34.7184129,-85.3260682,Burnt Mill School
33.6098308,-85.3246734,Colefield School (historical)
34.2612043,-85.3241218,Coosa Schools
34.353146,-85.3238443,Evergreen School (historical)
34.263982,-85.3227328,Krannert School
34.9097987,-85.3202351,Mountain View Elementary School
34.5173076,-85.315789,Pennville School
34.94907,-85.314159,Rossville Middle School
34.851744,-85.3135681,Pond Springs School
34.5439735,-85.3124557,Trion High School
34.662859,-85.3105118,Mount Carmel School (historical)
33.5445547,-85.3088389,Melrose School (historical)
34.4020333,-85.307455,Silver Hill School (historical)
34.8850768,-85.3074569,Wallaceville School
34.9620201,-85.3069014,Happy Valley School
33.5826094,-85.3041171,Hillcrest School (historical)
34.0520436,-85.3041199,Fite School
34.2625932,-85.3041212,Coosa High School
33.771216,-85.2966191,West Haralson School
34.9814643,-85.2960679,Rossville High School
34.8684103,-85.2949564,Gordon Lee School
33.9853788,-85.2938415,Brewster School
34.8689659,-85.2935675,Chickamauga Elementary School
34.8689659,-85.2935675,Chickamauga High School (historical)
34.9706311,-85.2935678,South Rossville Elementary School
34.7009134,-85.2924558,Fortune School
33.7495497,-85.2899522,Tallapoosa Primary School
33.73955,-85.2896743,Tallapoosa Public School (historical)
33.748161,-85.2896744,Haralson County Elementary School
33.748161,-85.2896744,Tallapoosa High School (historical)
33.748161,-85.2896744,Tallapoosa Male and Female Collge (historical)
34.7095242,-85.2885668,Linwood School
34.9803532,-85.2882899,North Rossville School
33.4959449,-85.2874489,Midway School (historical)
34.9406315,-85.2866231,Fairview School
34.1481521,-85.2863423,Bellview School (historical)
34.6981358,-85.2838443,West LaFayette School
34.7081355,-85.2838444,LaFayette High School
34.6175825,-85.2835662,Wesley Chapel School (historical)
34.7070243,-85.2816221,Chattooga Academy (historical)
34.2306498,-85.2810649,Payne School (historical)
34.8950765,-85.2785671,Osburn School
34.6517482,-85.2777328,Lee School
34.7164685,-85.2771775,North LaFayette School
34.9453536,-85.2752339,White Row School (historical)
34.0123226,-85.2691187,West End Grammar School (historical)
33.658441,-85.2685616,Pate School (historical)
34.7503564,-85.2682884,Warren School (historical)
34.9420202,-85.2652336,Saint Gerard School
34.9728531,-85.2649559,Lakeview Elementary School
33.3170611,-85.2635575,High Point School (historical)
33.3501158,-85.2618911,Red Oak Academy (historical)
33.5378885,-85.2618931,Bowdon High School
34.9439646,-85.260789,Fort Oglethorpe Elementary School
34.0117672,-85.2591184,Cedartown High School
34.4595317,-85.2591205,Gore School
34.0117672,-85.2588406,Purks Middle School
34.9722975,-85.2577335,Lakeview High School
34.0328777,-85.2574518,College Street School
33.9820456,-85.2571738,Benedict School
34.8756323,-85.2563441,Red Belt School (historical)
33.5878873,-85.2555049,Indian Creek School (historical)
34.3059253,-85.2538422,Possum Trot School
33.4056699,-85.2532803,Ephesus Elementary School
34.0823207,-85.2530076,Northside School
33.4787233,-85.2527256,Reeves School (historical)
34.0039896,-85.2510625,Cedar Hill High School (historical)
34.9645198,-85.2507888,Cloud Springs Elementary School
33.5267777,-85.2505039,Hudson School
33.5273332,-85.2493927,Bowdon Elementary School
33.3045615,-85.2488347,Ridgeway School (historical)
34.6675811,-85.2482874,Corinth School
34.8097999,-85.2471768,Walker County Area Technical School
34.0003786,-85.2468957,Cedar Hill School
33.3459493,-85.2468906,Walnut Hill School (historical)
34.0081562,-85.2466181,Eastview Public School (historical)
33.764272,-85.24384,Haralson High School
34.0089895,-85.2435624,Ethel Harpst School for Dependent Children (historical)
34.0109338,-85.2421735,Lyle School
34.2837038,-85.239675,Garden Lakes Elementary School
34.6981358,-85.2391205,Dry Creek School
34.3587015,-85.2380085,Orsman School (historical)
34.8167444,-85.2380099,Rock Spring School
34.9472979,-85.2349549,Lakeview-Fort Oglethorpe High School
34.3281469,-85.2349528,Berry Academy
34.2598156,-85.2341193,Alto Park School
34.2703709,-85.2327304,West End School
34.0534326,-85.2321735,Lake Creek School
34.4875865,-85.2321752,Farmersville School (historical)
34.512308,-85.2291196,Johnson School (historical)
34.2214834,-85.2285633,Mount Alto School (historical)
34.9622977,-85.2260658,Westside School
33.8845475,-85.225784,Felton Junior High School (historical)
34.6995247,-85.2221755,Hickory Hill School
34.8470217,-85.2216206,Pea Vine Academy (historical)
34.3312024,-85.2210634,Central Grove School (historical)
33.6509414,-85.2191158,Jake School (historical)
34.8981321,-85.2155096,Burning Bush School (historical)
33.48539,-85.2110579,Fairview School (historical)
34.2778707,-85.2107852,West Central Elementary School
33.7153844,-85.2107831,Waco School
34.9847974,-85.2105099,Unity School
34.6945249,-85.209675,Naomi Elementary School
33.5481662,-85.2091143,Antioch School (historical)
34.1709319,-85.2082918,Georgia Highlands College
34.2659266,-85.2074518,Elm Street School
33.1665094,-85.2074437,Stateline Academy (historical)
34.8922989,-85.2027313,Post Oak School (historical)
33.154843,-85.2010546,Mount Zion Academy (historical)
33.468446,-85.1971685,Tyus School
34.2575935,-85.1963403,Shorter College
34.6298047,-85.1932853,West Armuchee School
33.5917763,-85.190781,Pine Tucky School (historical)
33.2034531,-85.1907768,Union Grove School (historical)
34.1295415,-85.1905062,Reesburg School (historical)
34.2903704,-85.1891179,Berry College
34.6445265,-85.1891186,Prospect School
33.8062158,-85.1888386,Buchanan Elementary School
33.5589993,-85.1874472,Sackville School (historical)
34.5586957,-85.1871738,Subligna Junior High School (historical)
34.9636867,-85.1868978,Pleasant View School (historical)
33.8076047,-85.186894,Buchanan Middle School
34.2620378,-85.1868955,Darlington Lower School
33.6348308,-85.1866148,Mount Zion Elementary School
33.443169,-85.1860569,Storyville School (historical)
34.2192613,-85.1857842,McHenry Junior High School
34.395645,-85.1857845,Piney School (historical)
33.7339952,-85.1852271,Holland School (historical)
34.9236873,-85.1852309,Boynton Elementary School
34.2245389,-85.1849509,Darlington School
34.2475939,-85.1846732,Davis School
33.6376086,-85.1841148,Mount Zion High School
34.1687071,-85.1841173,Pepperell Middle School
34.2731487,-85.1821731,Glenwood School (historical)
33.4037256,-85.1818896,Unity School (historical)
34.2437051,-85.1813398,South Rome School
34.8442442,-85.1796747,Mount Pisgah School (historical)
34.180929,-85.1785616,Pepperell High School
34.2642601,-85.1785619,Fifth Avenue Public School (historical)
33.987601,-85.1768941,Biggers School (historical)
34.2392608,-85.1763396,East Main Street School
34.1800957,-85.1760615,Pepperell Elementary School
32.8787389,-85.1741078,West Point High School
34.33898,-85.173284,Armuchee High School
32.8745724,-85.1732743,West Point Academy (historical)
32.8745724,-85.1732743,West Point Elementary School
34.2250945,-85.1710616,Coosa Valley Tech School
34.2342609,-85.1705061,Eighth Ward School (historical)
34.2339832,-85.1702283,Southeast Elementary School
32.8765168,-85.1702187,Tenth Street School
34.2545381,-85.1680061,Central Primary School
34.2492605,-85.1677282,East Rome Junior High School
33.341783,-85.167722,Simpson School (historical)
34.2373164,-85.1666171,Banks School
34.2384274,-85.1652281,East Rome School
34.313703,-85.1646726,Glenwood Elementary School
33.9514906,-85.1638382,Antioch School (historical)
32.8804056,-85.1629963,Harrison High School
34.2520382,-85.1613391,East Rome High School
34.2337054,-85.1605058,East Central Elementary School
34.2803707,-85.1605058,Riverside School
34.3292582,-85.1605059,Warren School (historical)
