District,Company,Death,Cases
St. Savior Southwark,1,0,19211
St. Savior Southwark,1,1,406
St. Savior Southwark,2,0,14129
St. Savior Southwark,2,1,72
St. Olave Southwark,1,0,18361
St. Olave Southwark,1,1,277
St. Olave Southwark,2,0,0
St. Olave Southwark,2,1,0
St. George Southwark,1,0,24651
St. George Southwark,1,1,388
St. George Southwark,2,0,23613
St. George Southwark,2,1,99
Bermondsey,1,0,57063
Bermondsey,1,1,821
Bermondsey,2,0,1785
Bermondsey,2,1,0
Newington,1,0,31482
Newington,1,1,458
Newington,2,0,33473
Newington,2,1,58
Lambeth,1,0,54457
Lambeth,1,1,525
Lambeth,2,0,83648
Lambeth,2,1,138
Wandsworth,1,0,18122
Wandsworth,1,1,268
Wandsworth,2,0,3863
Wandsworth,2,1,7
Campberwell,1,0,23120
Campberwell,1,1,352
Campberwell,2,0,10445
Campberwell,2,1,33
Rotherhithe,1,0,14744
Rotherhithe,1,1,207
Rotherhithe,2,0,0
Rotherhithe,2,1,0
